item_id,input_summary,gold_route,predicted_route,scoring_result,annotator_a,annotator_b,adjudicated_category,adjudication_rationale
EBE-039,Independent ticket EBE-039: customer request 49 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-039, the scorer-required route account.recovery is absent from the prediction."
EBE-040,Independent ticket EBE-040: customer request 50 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-040, the scorer-required route orders.cancel is absent from the prediction."
EBE-041,Independent ticket EBE-041: customer request 51 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-041, the scorer-required route subscription.pause is absent from the prediction."
EBE-042,"Independent ticket EBE-042: wording supports account.recovery, while benchmark note AMB-001 documents security.recovery as a competing interpretation.",account.recovery,security.recovery,incorrect_exact_route_match,label_ambiguity,route_omission,label_ambiguity,"Exact match marks security.recovery wrong for EBE-042; AMB-001 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-043,"Independent ticket EBE-043: wording supports billing.refund, while benchmark note AMB-002 documents billing.dispute as a competing interpretation.",billing.refund,billing.dispute,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks billing.dispute wrong for EBE-043; AMB-002 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-044,"Independent ticket EBE-044: wording supports shipping.delay, while benchmark note AMB-003 documents orders.status as a competing interpretation.",shipping.delay,orders.status,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks orders.status wrong for EBE-044; AMB-003 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-045,"Independent ticket EBE-045: wording supports subscription.cancel, while benchmark note AMB-004 documents account.close as a competing interpretation.",subscription.cancel,account.close,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks account.close wrong for EBE-045; AMB-004 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-046,"Independent ticket EBE-046: wording supports warranty.claim, while benchmark note AMB-005 documents returns.damage as a competing interpretation.",warranty.claim,returns.damage,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks returns.damage wrong for EBE-046; AMB-005 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-047,"Independent ticket EBE-047: wording supports account.recovery, while benchmark note AMB-006 documents security.recovery as a competing interpretation.",account.recovery,security.recovery,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks security.recovery wrong for EBE-047; AMB-006 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-048,"Independent ticket EBE-048: wording supports billing.refund, while benchmark note AMB-007 documents billing.dispute as a competing interpretation.",billing.refund,billing.dispute,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks billing.dispute wrong for EBE-048; AMB-007 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-049,"Independent ticket EBE-049: wording supports shipping.delay, while benchmark note AMB-008 documents orders.status as a competing interpretation.",shipping.delay,orders.status,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks orders.status wrong for EBE-049; AMB-008 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-050,"Independent ticket EBE-050: wording supports subscription.cancel, while benchmark note AMB-009 documents account.close as a competing interpretation.",subscription.cancel,account.close,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks account.close wrong for EBE-050; AMB-009 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-051,"Independent ticket EBE-051: wording supports warranty.claim, while benchmark note AMB-010 documents returns.damage as a competing interpretation.",warranty.claim,returns.damage,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks returns.damage wrong for EBE-051; AMB-010 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-052,"Independent ticket EBE-052: wording supports account.recovery, while benchmark note AMB-011 documents security.recovery as a competing interpretation.",account.recovery,security.recovery,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks security.recovery wrong for EBE-052; AMB-011 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-053,"Independent ticket EBE-053: wording supports billing.refund, while benchmark note AMB-012 documents billing.dispute as a competing interpretation.",billing.refund,billing.dispute,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks billing.dispute wrong for EBE-053; AMB-012 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-054,"Independent ticket EBE-054: wording supports shipping.delay, while benchmark note AMB-013 documents orders.status as a competing interpretation.",shipping.delay,orders.status,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks orders.status wrong for EBE-054; AMB-013 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-055,"Independent ticket EBE-055: wording supports subscription.cancel, while benchmark note AMB-014 documents account.close as a competing interpretation.",subscription.cancel,account.close,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks account.close wrong for EBE-055; AMB-014 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-056,"Independent ticket EBE-056: wording supports warranty.claim, while benchmark note AMB-015 documents returns.damage as a competing interpretation.",warranty.claim,returns.damage,incorrect_exact_route_match,label_ambiguity,route_omission,label_ambiguity,"Exact match marks returns.damage wrong for EBE-056; AMB-015 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-057,"Independent ticket EBE-057: wording supports account.recovery, while benchmark note AMB-016 documents security.recovery as a competing interpretation.",account.recovery,security.recovery,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks security.recovery wrong for EBE-057; AMB-016 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-058,"Independent ticket EBE-058: wording supports billing.refund, while benchmark note AMB-017 documents billing.dispute as a competing interpretation.",billing.refund,billing.dispute,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks billing.dispute wrong for EBE-058; AMB-017 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-059,"Independent ticket EBE-059: wording supports shipping.delay, while benchmark note AMB-018 documents orders.status as a competing interpretation.",shipping.delay,orders.status,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks orders.status wrong for EBE-059; AMB-018 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-060,"Independent ticket EBE-060: wording supports subscription.cancel, while benchmark note AMB-019 documents account.close as a competing interpretation.",subscription.cancel,account.close,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks account.close wrong for EBE-060; AMB-019 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-061,"Independent ticket EBE-061: wording supports warranty.claim, while benchmark note AMB-020 documents returns.damage as a competing interpretation.",warranty.claim,returns.damage,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks returns.damage wrong for EBE-061; AMB-020 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-062,"Independent ticket EBE-062: wording supports account.recovery, while benchmark note AMB-021 documents security.recovery as a competing interpretation.",account.recovery,security.recovery,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks security.recovery wrong for EBE-062; AMB-021 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-063,"Independent ticket EBE-063: wording supports billing.refund, while benchmark note AMB-022 documents billing.dispute as a competing interpretation.",billing.refund,billing.dispute,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks billing.dispute wrong for EBE-063; AMB-022 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-064,"Independent ticket EBE-064: wording supports shipping.delay, while benchmark note AMB-023 documents orders.status as a competing interpretation.",shipping.delay,orders.status,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks orders.status wrong for EBE-064; AMB-023 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-065,"Independent ticket EBE-065: wording supports subscription.cancel, while benchmark note AMB-024 documents account.close as a competing interpretation.",subscription.cancel,account.close,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks account.close wrong for EBE-065; AMB-024 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-066,"Independent ticket EBE-066: wording supports warranty.claim, while benchmark note AMB-025 documents returns.damage as a competing interpretation.",warranty.claim,returns.damage,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks returns.damage wrong for EBE-066; AMB-025 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-067,"Independent ticket EBE-067: wording supports account.recovery, while benchmark note AMB-026 documents security.recovery as a competing interpretation.",account.recovery,security.recovery,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks security.recovery wrong for EBE-067; AMB-026 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-068,"Independent ticket EBE-068: wording supports billing.refund, while benchmark note AMB-027 documents billing.dispute as a competing interpretation.",billing.refund,billing.dispute,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks billing.dispute wrong for EBE-068; AMB-027 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-069,"Independent ticket EBE-069: wording supports shipping.delay, while benchmark note AMB-028 documents orders.status as a competing interpretation.",shipping.delay,orders.status,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks orders.status wrong for EBE-069; AMB-028 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-070,"Independent ticket EBE-070: wording supports subscription.cancel, while benchmark note AMB-029 documents account.close as a competing interpretation.",subscription.cancel,account.close,incorrect_exact_route_match,label_ambiguity,label_ambiguity,label_ambiguity,"Exact match marks account.close wrong for EBE-070; AMB-029 makes the ambiguity explicit, so it is separated from unambiguous failures."
EBE-071,Independent ticket EBE-071: request contains entity REF-7000 required for orders.status.,orders.status,orders.generic,incorrect_exact_route_match,entity_extraction,other,entity_extraction,Prediction orders.generic for EBE-071 follows omission of entity REF-7000.
EBE-072,Independent ticket EBE-072: request contains entity REF-7001 required for billing.invoice.,billing.invoice,billing.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction billing.generic for EBE-072 follows omission of entity REF-7001.
EBE-073,Independent ticket EBE-073: request contains entity REF-7002 required for shipping.track.,shipping.track,shipping.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction shipping.generic for EBE-073 follows omission of entity REF-7002.
EBE-074,Independent ticket EBE-074: request contains entity REF-7003 required for account.device.,account.device,account.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction account.generic for EBE-074 follows omission of entity REF-7003.
EBE-075,Independent ticket EBE-075: request contains entity REF-7004 required for orders.status.,orders.status,orders.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction orders.generic for EBE-075 follows omission of entity REF-7004.
EBE-076,Independent ticket EBE-076: request contains entity REF-7005 required for billing.invoice.,billing.invoice,billing.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction billing.generic for EBE-076 follows omission of entity REF-7005.
EBE-077,Independent ticket EBE-077: request contains entity REF-7006 required for shipping.track.,shipping.track,shipping.generic,incorrect_exact_route_match,entity_extraction,other,entity_extraction,Prediction shipping.generic for EBE-077 follows omission of entity REF-7006.
EBE-078,Independent ticket EBE-078: request contains entity REF-7007 required for account.device.,account.device,account.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction account.generic for EBE-078 follows omission of entity REF-7007.
EBE-079,Independent ticket EBE-079: request contains entity REF-7008 required for orders.status.,orders.status,orders.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction orders.generic for EBE-079 follows omission of entity REF-7008.
EBE-080,Independent ticket EBE-080: request contains entity REF-7009 required for billing.invoice.,billing.invoice,billing.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction billing.generic for EBE-080 follows omission of entity REF-7009.
EBE-081,Independent ticket EBE-081: request contains entity REF-7010 required for shipping.track.,shipping.track,shipping.generic,incorrect_exact_route_match,entity_extraction,entity_extraction,entity_extraction,Prediction shipping.generic for EBE-081 follows omission of entity REF-7010.
EBE-082,Independent ticket EBE-082: support request arrives as a HEIC attachment outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,route_omission,unsupported_format,Parser v7 cannot consume the HEIC attachment in EBE-082; no route is emitted.
EBE-083,Independent ticket EBE-083: support request arrives as a scanned PDF outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,unsupported_format,unsupported_format,Parser v7 cannot consume the scanned PDF in EBE-083; no route is emitted.
EBE-084,Independent ticket EBE-084: support request arrives as a voice memo outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,unsupported_format,unsupported_format,Parser v7 cannot consume the voice memo in EBE-084; no route is emitted.
EBE-085,Independent ticket EBE-085: support request arrives as a password-protected document outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,unsupported_format,unsupported_format,Parser v7 cannot consume the password-protected document in EBE-085; no route is emitted.
EBE-086,Independent ticket EBE-086: support request arrives as a embedded spreadsheet outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,route_omission,unsupported_format,Parser v7 cannot consume the embedded spreadsheet in EBE-086; no route is emitted.
EBE-087,Independent ticket EBE-087: support request arrives as a handwritten image outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,unsupported_format,unsupported_format,Parser v7 cannot consume the handwritten image in EBE-087; no route is emitted.
EBE-088,Independent ticket EBE-088: support request arrives as a legacy RTF outside parser contract v7.,attachments.parse,none,incorrect_exact_route_match,unsupported_format,unsupported_format,unsupported_format,Parser v7 cannot consume the legacy RTF in EBE-088; no route is emitted.
EBE-089,Independent ticket EBE-089: mixed request MIX-001 has exact gold route general.escalate.,general.escalate,general.info,incorrect_exact_route_match,other,label_ambiguity,other,"For EBE-089, general.info differs from general.escalate but does not satisfy another frozen category definition."
EBE-090,Independent ticket EBE-090: mixed request MIX-002 has exact gold route privacy.delete.,privacy.delete,account.close,incorrect_exact_route_match,other,other,other,"For EBE-090, account.close differs from privacy.delete but does not satisfy another frozen category definition."
EBE-091,Independent ticket EBE-091: mixed request MIX-003 has exact gold route merchant.review.,merchant.review,billing.dispute,incorrect_exact_route_match,other,other,other,"For EBE-091, billing.dispute differs from merchant.review but does not satisfy another frozen category definition."
EBE-092,Independent ticket EBE-092: mixed request MIX-004 has exact gold route accessibility.support.,accessibility.support,general.info,incorrect_exact_route_match,other,other,other,"For EBE-092, general.info differs from accessibility.support but does not satisfy another frozen category definition."
EBE-093,Independent ticket EBE-093: mixed request MIX-005 has exact gold route fraud.report.,fraud.report,security.recovery,incorrect_exact_route_match,other,label_ambiguity,other,"For EBE-093, security.recovery differs from fraud.report but does not satisfy another frozen category definition."
EBE-094,Independent ticket EBE-094: mixed request MIX-006 has exact gold route legal.hold.,legal.hold,general.escalate,incorrect_exact_route_match,other,other,other,"For EBE-094, general.escalate differs from legal.hold but does not satisfy another frozen category definition."
